trip_id,ambulance_id,start_time,distance_km,expected_duration_min,time_of_day,congestion_level,avg_speed_kmph,weather_condition,weather_severity,visibility_m,speed_drop_rate,delay_minutes,delay_cause,actual_duration_min,active_trip_time_min,availability_time_min
T84,A8,06-09-2025 14:41,24.12,36.18,Morning Peak,High,37.1,Clear,0,942,0.2272,10.66,Traffic,46.84,36.94,18.02
T85,A14,06-09-2025 01:13,26.84,40.26,Morning Peak,Medium,35.09,Rain,1,754,0.2682,4.33,Weather,44.59,5.32,39.86
T86,A5,12-09-2025 06:28,16.11,24.16,Evening Peak,High,30.95,Clear,0,950,0.1466,6.21,Traffic,30.37,3.93,25.91
T87,A43,29-09-2025 13:30,24,36,Morning Peak,Low,46.19,Clear,0,1087,0.2118,0.21,Weather,36.21,29.8,9.14
T88,A48,14-09-2025 00:29,20.81,31.21,Morning Peak,Low,39.67,Clear,0,896,0.0281,-1.09,No Delay,30.12,11.76,22.76
T89,A21,06-09-2025 08:25,12.95,19.42,Evening Peak,High,17.06,Clear,0,905,0.7294,11.87,Incident,31.29,7.95,23.97
T90,A44,08-09-2025 01:49,4.12,6.18,Morning Peak,High,12.42,Storm,3,278,0.8687,2.58,Incident,8.76,0.71,12.98
T91,A12,01-09-2025 18:36,21.15,31.72,Afternoon,High,27.83,Clear,0,961,0.7459,15.98,Incident,47.7,39.51,16.01
T92,A1,22-09-2025 16:47,12.97,19.46,Evening Peak,Low,36.27,Clear,0,910,0.032,0.41,No Delay,19.87,11.79,13.21
T93,A43,03-09-2025 20:42,6.23,9.35,Night,Low,55.34,Clear,0,973,0.0739,-0.09,No Delay,9.26,7.36,9.18
T94,A28,09-09-2025 07:02,14.67,22.01,Morning Peak,Medium,30.28,Rain,1,622,0.0158,9.56,Traffic,31.57,14.48,23.7
T95,A48,09-09-2025 18:24,16.17,24.26,Afternoon,Low,45.19,Clear,0,833,0.0408,-0.7,No Delay,23.56,18.97,9.38
T96,A41,21-09-2025 01:58,4.83,7.25,Evening Peak,High,17.25,Rain,1,629,0.9081,2.39,Incident,9.64,7.84,3.98
T97,A6,25-09-2025 03:52,6.49,9.73,Afternoon,High,28.64,Fog,2,305,0.2853,1.8,Weather,11.53,10.02,8.22
T98,A25,10-09-2025 00:25,5.2,7.8,Afternoon,Low,43.71,Fog,2,347,0.0614,2.79,Weather,10.59,3.23,10.06
T99,A30,23-09-2025 00:52,24.19,36.29,Night,Low,47.79,Clear,0,862,0,-0.02,No Delay,36.27,30.53,12.81
T100,A48,02-09-2025 18:48,7.13,10.7,Night,Low,49.38,Clear,0,1031,0,0.35,No Delay,11.05,0.16,14.71
T101,A1,13-09-2025 09:54,7.56,11.34,Morning Peak,High,39.38,Clear,0,814,0.0733,5.62,Traffic,16.96,9.93,9.2
T102,A18,02-09-2025 00:44,14.73,22.1,Night,High,45.58,Rain,1,519,0.3264,7.78,Traffic,29.88,22.94,8.87
T103,A11,23-09-2025 22:38,4.86,7.29,Morning Peak,Medium,35.05,Clear,0,867,0.1622,1.84,Traffic,9.13,4.68,7.15
T104,A10,30-09-2025 16:06,5.32,7.98,Morning Peak,Medium,17.25,Clear,0,767,0.6873,4.85,Incident,12.83,9.69,9.34
T105,A47,29-09-2025 07:54,8.59,12.88,Night,Low,50.31,Clear,0,845,0.0339,-0.06,No Delay,12.82,7.42,8.83
T106,A3,16-09-2025 23:03,7.28,10.92,Night,Low,40.68,Clear,0,1049,0,-0.12,No Delay,10.8,4.93,9.35
T107,A6,05-09-2025 16:04,5.7,8.55,Afternoon,Low,40.89,Clear,0,834,0.1387,0.33,No Delay,8.88,6.04,6.1
T108,A24,06-09-2025 05:40,27.02,40.53,Afternoon,High,30.45,Clear,0,746,0.186,8.28,Traffic,48.81,6.65,41.96
T109,A48,20-09-2025 23:50,13.48,20.22,Night,High,12.47,Rain,1,744,1.31,12.72,Incident,32.94,18.24,20.5
T110,A13,01-09-2025 21:46,14.19,21.29,Morning Peak,Medium,24.17,Clear,0,1075,0.1773,7.73,Traffic,29.02,21.98,10.34
T111,A28,24-09-2025 06:41,24.81,37.21,Evening Peak,High,37.01,Rain,1,456,0.3178,13.69,Traffic,50.9,37.39,18.53
T112,A2,03-09-2025 21:22,3.29,4.94,Afternoon,Low,42.53,Clear,0,935,0.0607,0.05,No Delay,4.99,1.71,10.06
T113,A30,04-09-2025 11:12,29.74,44.61,Morning Peak,Medium,18.07,Rain,1,482,0.5317,26.95,Incident,71.56,61.42,14.96
T114,A20,15-09-2025 22:14,28.16,42.24,Night,Low,46.63,Clear,0,964,0,0.99,No Delay,43.23,11.11,33.91
T115,A10,03-09-2025 22:49,7.89,11.83,Evening Peak,High,29.32,Clear,0,969,0.0671,2.82,Traffic,14.65,12.59,7.22
T116,A31,21-09-2025 11:03,18.96,28.44,Morning Peak,Medium,19.46,Fog,2,211,0.4608,12.17,Weather,40.61,21.21,27.66
T117,A50,27-09-2025 11:14,4.08,6.12,Evening Peak,Medium,17.22,Rain,1,492,0.275,2.12,Traffic,8.24,6.58,7.34
T118,A27,03-09-2025 02:19,16.77,25.16,Morning Peak,High,41.51,Clear,0,801,0.1142,10.52,Traffic,35.68,5.64,35.59
T119,A18,30-09-2025 22:14,19.92,29.88,Night,Low,48.02,Clear,0,875,0.0491,1.37,No Delay,31.25,24.09,9.97
T120,A25,21-09-2025 06:36,15.89,23.84,Evening Peak,Medium,23.44,Rain,1,551,0.2709,12.02,Traffic,35.86,21.52,19.44
T121,A12,06-09-2025 15:47,28.13,42.19,Evening Peak,High,20.48,Clear,0,866,0,10.61,Traffic,52.8,6.85,51.1
T122,A13,27-09-2025 05:02,24.45,36.67,Night,Low,55.63,Clear,0,893,0.1115,-0.12,No Delay,36.55,4.2,43.05
T123,A22,16-09-2025 05:29,22.91,34.37,Afternoon,High,20.29,Rain,1,602,0.7535,17.09,Incident,51.46,11.66,43.74
T124,A36,28-09-2025 17:51,21.71,32.57,Night,Low,45.52,Clear,0,870,0.0076,-0.48,Weather,32.09,14.98,18.29
T125,A18,09-09-2025 22:21,27.78,41.67,Morning Peak,Medium,26.65,Clear,0,752,0.1323,13.23,Traffic,54.9,0.48,59.15
T126,A35,19-09-2025 01:18,22.51,33.77,Morning Peak,Medium,17.37,Rain,1,714,0.4741,13.21,Incident,46.98,35.43,15.61
T127,A46,19-09-2025 06:47,11.11,16.66,Evening Peak,High,29.82,Rain,1,598,0.0068,4.45,Traffic,21.11,16.16,7.1
T128,A5,02-09-2025 05:26,13.95,20.93,Night,High,26.81,Rain,1,562,1.0976,8.91,Incident,29.84,8.86,29.61
T129,A5,15-09-2025 00:54,27.08,40.62,Night,Low,40.43,Fog,2,177,0.0282,12.92,Weather,53.54,29.08,28.92
T130,A6,23-09-2025 15:51,14.7,22.05,Evening Peak,Medium,41.07,Fog,2,179,0.3416,4.25,Weather,26.3,1.08,32.41
T131,A36,11-09-2025 07:07,25.89,38.84,Afternoon,Medium,27.13,Rain,1,549,1.2464,23.65,Traffic,62.49,54.41,12.68
T132,A29,19-09-2025 06:57,14.69,22.03,Evening Peak,Medium,24.13,Fog,2,194,0.3729,4.95,Weather,26.98,13.21,18.3
T133,A15,16-09-2025 16:42,23.03,34.55,Morning Peak,High,29.12,Rain,1,435,0.0992,15.6,Traffic,50.15,13.57,43.18
T134,A2,22-09-2025 03:38,19.27,28.91,Evening Peak,High,13.75,Rain,1,673,0,8.28,Traffic,37.19,25.19,17.15
T135,A8,14-09-2025 20:55,26.35,39.53,Night,Medium,13.27,Clear,0,757,0.7475,12.91,Incident,52.44,25.09,37.62
T136,A5,05-09-2025 18:48,14.31,21.46,Evening Peak,High,7.46,Rain,1,728,0.6052,12.97,Incident,34.43,23.23,18.09
T137,A42,03-09-2025 16:49,16.01,24.02,Night,High,17.35,Rain,1,415,1.0196,10.35,Incident,34.37,4.49,31.59
T138,A27,11-09-2025 08:59,7.81,11.71,Night,Medium,38.16,Fog,2,240,0.4881,2.83,Weather,14.54,7.2,12.45
T139,A18,14-09-2025 09:39,16.07,24.11,Night,Low,44.11,Clear,0,913,0.1082,-0.34,No Delay,23.77,16.8,14.04
T140,A7,19-09-2025 16:12,20.01,30.02,Night,Low,33,Clear,0,879,0.0164,1.16,No Delay,31.18,13.13,26.21
T141,A21,16-09-2025 07:31,9.28,13.92,Afternoon,Low,36.25,Storm,3,120,0.4119,5.54,Weather,19.46,12.91,9.61
T142,A12,15-09-2025 09:57,27.02,40.53,Evening Peak,High,10.37,Fog,2,153,1.2534,18.41,Incident,58.94,37.13,23.58
T143,A21,25-09-2025 09:52,19,28.5,Evening Peak,High,26.8,Rain,1,543,0.5684,9.06,Incident,37.56,25.69,17.92
T144,A22,21-09-2025 05:42,13.5,20.25,Evening Peak,High,6.53,Rain,1,489,1.0376,7.64,Incident,27.89,7.85,28.98
T145,A26,19-09-2025 16:01,13.62,20.43,Afternoon,High,14.25,Rain,1,723,0.8708,10.56,Incident,30.99,8.41,28.39
T146,A32,23-09-2025 10:10,15.65,23.47,Evening Peak,Low,20.47,Storm,3,210,0.345,7.57,Weather,31.04,24.39,13.02
T147,A28,20-09-2025 02:45,20.17,30.26,Night,Low,34.71,Fog,2,305,0.4162,8.04,Weather,38.3,5.85,36.94
T148,A49,14-09-2025 12:52,17.05,25.58,Afternoon,Medium,15.44,Storm,3,194,0.302,3.38,Weather,28.96,13.4,17.7
T149,A28,07-09-2025 05:06,10.91,16.36,Afternoon,Low,35.97,Storm,3,155,0.3272,5.58,Weather,21.94,4.93,22.87
T150,A18,23-09-2025 18:37,16,24,Afternoon,Low,22.55,Fog,2,138,0.6225,3.5,Weather,27.5,13.11,18.38
T151,A33,28-09-2025 03:30,5.59,8.38,Evening Peak,High,32.41,Clear,0,862,0.1108,3.52,Traffic,11.9,9.42,4.83
T152,A8,18-09-2025 11:44,5.74,8.61,Morning Peak,High,19.2,Storm,3,201,1.1583,4,Incident,12.61,11.02,4.92
T153,A30,16-09-2025 19:46,10.38,15.57,Evening Peak,High,22.13,Clear,0,1020,1.1308,4.38,Incident,19.95,9.18,13.72
T154,A21,26-09-2025 20:53,15.93,23.89,Morning Peak,High,22.41,Fog,2,289,1.0708,14.31,Incident,38.2,24.13,22.81
T155,A5,29-09-2025 13:47,2.32,3.48,Morning Peak,Medium,34.63,Clear,0,748,0.3394,1.49,Traffic,4.97,1.63,8.09
T156,A22,13-09-2025 19:01,4.48,6.72,Morning Peak,Low,43.9,Clear,0,952,0,0.32,No Delay,7.04,2.33,12.87
T157,A35,18-09-2025 13:34,28.65,42.97,Morning Peak,Medium,45.81,Fog,2,253,0.4268,8.77,Weather,51.74,41.68,17
T158,A35,07-09-2025 23:43,3.98,5.97,Night,Low,44.75,Fog,2,287,0.3566,0.79,Weather,6.76,1.58,9.37
T159,A14,08-09-2025 09:00,10.98,16.47,Evening Peak,High,40.68,Rain,1,530,0.6505,6.92,Weather,23.39,0.6,32.23
T160,A1,04-09-2025 02:17,22.84,34.26,Afternoon,Low,41.73,Clear,0,837,0.1962,0.4,No Delay,34.66,19.54,19.69
T161,A3,23-09-2025 00:07,22.2,33.3,Morning Peak,Medium,25.33,Rain,1,427,0.1282,7.41,Traffic,40.71,21.88,26.57
T162,A7,04-09-2025 02:35,21.11,31.66,Afternoon,Low,26.4,Fog,2,323,0.3616,4.04,Weather,35.7,20.09,22.11
T163,A34,27-09-2025 13:38,27,40.5,Night,Low,42.07,Clear,0,945,0.0735,-1.13,No Delay,39.37,26.13,15.07
T164,A17,08-09-2025 18:08,22.45,33.68,Night,Low,49.5,Clear,0,958,0.1442,-1.18,No Delay,32.5,24.81,12.35
T165,A23,06-09-2025 02:18,8.74,13.11,Afternoon,Low,40.86,Clear,0,795,0.0315,0.38,Weather,13.49,11.1,4.84
T166,A8,20-09-2025 16:13,11.79,17.68,Morning Peak,Medium,47.05,Storm,3,115,0.7097,4.55,No Delay,22.23,14.94,11.68
T167,A24,08-09-2025 07:06,3.74,5.61,Night,Low,63.18,Clear,0,832,0,-0.18,Weather,5.43,2.64,9.14
T168,A33,02-09-2025 17:07,29.12,43.68,Morning Peak,Medium,31.82,Clear,0,747,0.3275,9.78,Traffic,53.46,3.14,51.42
T169,A23,06-09-2025 12:55,14.89,22.34,Morning Peak,Medium,45.93,Storm,3,241,0.1917,7.51,Weather,29.85,23.66,11.02
T170,A37,08-09-2025 21:22,3.83,5.75,Morning Peak,High,22.5,Clear,0,981,0.3521,1.76,Traffic,7.51,5.6,4.25
T171,A20,27-09-2025 19:01,20.28,30.42,Morning Peak,Medium,34.02,Storm,3,258,0.0761,5.41,Weather,35.83,20.86,17.69
T172,A19,15-09-2025 23:29,2.74,4.11,Evening Peak,High,49.21,Clear,0,742,0.2037,1.57,Traffic,5.68,4.6,3.54
T173,A2,30-09-2025 02:58,5.64,8.46,Afternoon,Medium,35.01,Fog,2,232,0.2036,2.45,Weather,10.91,0.72,15.27
T174,A8,12-09-2025 21:30,29.96,44.94,Night,Medium,55.02,Storm,3,175,0.3278,14.42,Weather,59.36,44.23,23.45
T175,A7,05-09-2025 15:11,21.45,32.17,Afternoon,Low,45.28,Clear,0,782,0,-0.58,No Delay,31.59,20.27,15.83
T176,A22,13-09-2025 01:48,18.93,28.39,Evening Peak,Low,34.16,Storm,3,237,0.167,9.62,Weather,38.01,5.98,35.62
T177,A41,14-09-2025 06:54,25.95,38.92,Afternoon,High,18.64,Clear,0,845,0.7871,15.65,Incident,54.57,43.22,15.72
T178,A4,23-09-2025 09:01,15.91,23.86,Night,Low,40.96,Fog,2,331,0.1563,2.71,Weather,26.57,12.15,19.74
T179,A50,18-09-2025 12:27,7.63,11.45,Night,Low,53.16,Clear,0,928,0,0.68,No Delay,12.13,10.11,4.4
T180,A49,27-09-2025 02:35,15.5,23.25,Morning Peak,High,31.76,Clear,0,757,0.1579,11.64,Traffic,34.89,30.04,8.45
T181,A6,07-09-2025 11:31,28.28,42.42,Afternoon,High,9.38,Storm,3,212,0.7949,24.04,Incident,66.46,57.92,13.83
T182,A27,03-09-2025 10:53,9.9,14.85,Afternoon,Medium,56.7,Fog,2,255,0.2254,6.14,Weather,20.99,11.29,15.62
T183,A41,04-09-2025 06:43,9.11,13.66,Morning Peak,High,19.14,Rain,1,515,0.2866,4.3,Traffic,17.96,8.71,18.22
T184,A9,24-09-2025 04:19,25.34,38.01,Night,Low,44.01,Clear,0,908,0,0.43,No Delay,38.44,14.59,28.22
T185,A48,21-09-2025 10:36,15.07,22.61,Night,Medium,30.61,Fog,2,171,0.577,8.29,Weather,30.9,24.16,8.29
T186,A12,24-09-2025 20:27,29.36,44.04,Afternoon,Medium,44.47,Storm,3,209,0.4231,5.95,No Delay,49.99,9.19,44.88
T187,A45,08-09-2025 20:19,14.24,21.36,Night,Low,29.13,Storm,3,140,0.0246,4.77,Weather,26.13,18.02,14.47
T188,A49,30-09-2025 07:17,18.41,27.61,Afternoon,Low,50.74,Rain,1,671,0.2408,5.78,Weather,33.39,2.77,30.48
T189,A28,06-09-2025 17:24,6.36,9.54,Afternoon,Low,50.32,Clear,0,981,0.0847,-0.13,No Delay,9.41,3.87,13.06
T190,A18,07-09-2025 05:40,26.83,40.24,Morning Peak,Medium,32.99,Clear,0,801,0.3013,19.08,Traffic,59.32,46.51,14.89
T191,A44,25-09-2025 21:05,24.43,36.65,Night,Low,58.43,Clear,0,1049,0.1291,-0.37,No Delay,36.28,24.05,18.61
T192,A49,30-09-2025 13:22,29.63,44.45,Morning Peak,High,8.27,Clear,0,1036,1.3533,25.73,Incident,70.18,44.58,30.58
T193,A31,18-09-2025 04:17,25.32,37.98,Afternoon,High,11.93,Clear,0,945,1.0659,20.16,Incident,58.14,48.19,11.3
T194,A11,18-09-2025 10:18,11.73,17.59,Night,Medium,23.85,Storm,3,298,1.1894,5.25,Incident,22.84,3.81,21.02
